INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ASIANPAINT,24-Sep-2015,0,XX,865.2,877.35,850.1,860.4,860.4,5290,11451.4,3657000,-151000,28-AUG-2015,
FUTSTK,ASIANPAINT,29-Oct-2015,0,XX,873.95,881.25,858.05,864.35,864.35,139,302.48,34750,8500,28-AUG-2015,
FUTSTK,ASIANPAINT,26-Nov-2015,0,XX,0,0,0,871.8,874.95,0,0,0,0,28-AUG-2015,
FUTSTK,AUROPHARMA,24-Sep-2015,0,XX,749.2,782,748,757.45,757.45,15729,60432.81,12646500,-89000,28-AUG-2015,
FUTSTK,AUROPHARMA,29-Oct-2015,0,XX,764.25,785,752.9,759.45,759.45,99,379.91,55500,15000,28-AUG-2015,
FUTSTK,AUROPHARMA,26-Nov-2015,0,XX,0,0,0,760,771.15,0,0,0,0,28-AUG-2015,
FUTSTK,AXISBANK,24-Sep-2015,0,XX,516,530.65,505.2,511.05,511.05,31422,81658.56,25698000,421000,28-AUG-2015,
FUTSTK,AXISBANK,29-Oct-2015,0,XX,519.95,533.5,510,514.4,514.4,435,1135.78,213500,35000,28-AUG-2015,
FUTSTK,AXISBANK,26-Nov-2015,0,XX,513,513,513,513,518.05,1,5.13,1000,1000,28-AUG-2015,
FUTSTK,BAJAJ-AUTO,24-Sep-2015,0,XX,2229,2291,2210,2277.55,2277.55,6228,17613.45,1848125,-26250,28-AUG-2015,
FUTSTK,BAJAJ-AUTO,29-Oct-2015,0,XX,2251,2298.75,2245,2291.7,2291.7,77,219.41,12750,3250,28-AUG-2015,
FUTSTK,BAJAJ-AUTO,26-Nov-2015,0,XX,0,0,0,2230.75,2323.9,0,0,0,0,28-AUG-2015,
FUTSTK,BAJFINANCE,24-Sep-2015,0,XX,5129.05,5159,4916.4,5079.4,5079.4,668,4247.32,169750,19625,28-AUG-2015,
FUTSTK,BAJFINANCE,29-Oct-2015,0,XX,0,0,0,5186.85,5120,0,0,125,0,28-AUG-2015,
FUTSTK,BAJFINANCE,26-Nov-2015,0,XX,0,0,0,5200.1,5150.75,0,0,0,0,28-AUG-2015,
FUTSTK,BANKBARODA,24-Sep-2015,0,XX,191.55,193.6,182,186.05,186.05,12672,47714.76,29372000,240000,28-AUG-2015,
FUTSTK,BANKBARODA,29-Oct-2015,0,XX,192.3,193.85,183.35,187.25,187.25,119,450.23,556000,52000,28-AUG-2015,
FUTSTK,BANKBARODA,26-Nov-2015,0,XX,188,188.6,188,188.6,188.8,2,11.67,6200,6200,28-AUG-2015,
FUTSTK,BANKINDIA,24-Sep-2015,0,XX,146.8,148.8,138,142.05,142.05,8133,11746.71,9870000,-177000,28-AUG-2015,
FUTSTK,BANKINDIA,29-Oct-2015,0,XX,146.8,149.35,139.25,142.65,142.65,143,205.89,820000,34000,28-AUG-2015,
FUTSTK,BANKINDIA,26-Nov-2015,0,XX,139.9,139.9,139.9,139.9,144.3,1,4.19,3000,3000,28-AUG-2015,
FUTSTK,BATAINDIA,24-Sep-2015,0,XX,1084,1105,1030,1043.85,1043.85,2150,5768.15,841500,33750,28-AUG-2015,
FUTSTK,BATAINDIA,29-Oct-2015,0,XX,1068.3,1083.95,1026.1,1033.2,1033.2,26,68.22,8000,2250,28-AUG-2015,
FUTSTK,BATAINDIA,26-Nov-2015,0,XX,0,0,0,1138.2,1095.7,0,0,0,0,28-AUG-2015,
FUTSTK,BEL,24-Sep-2015,0,XX,3470.35,3586.95,3465.3,3497.35,3497.35,1711,7516.25,382375,-8375,28-AUG-2015,
FUTSTK,BEL,29-Oct-2015,0,XX,3600,3600,3540,3540,3521.75,3,13.38,2250,250,28-AUG-2015,
FUTSTK,BEL,26-Nov-2015,0,XX,0,0,0,3487.25,3542.9,0,0,0,0,28-AUG-2015,
FUTSTK,BHARATFORG,24-Sep-2015,0,XX,1172.75,1200,1169,1180.5,1180.5,4857,14403.7,3302250,-127250,28-AUG-2015,
FUTSTK,BHARATFORG,29-Oct-2015,0,XX,1196.65,1202.2,1174.7,1188.6,1188.6,91,271.35,25250,15000,28-AUG-2015,
FUTSTK,BHARATFORG,26-Nov-2015,0,XX,0,0,0,1202.95,1205.7,0,0,0,0,28-AUG-2015,
FUTSTK,BHARTIARTL,24-Sep-2015,0,XX,355,365.15,353.05,363.6,363.6,5920,21246.44,20115000,-979000,28-AUG-2015,
FUTSTK,BHARTIARTL,29-Oct-2015,0,XX,359.4,367,356.4,366.25,366.25,36,130.14,44000,3000,28-AUG-2015,
FUTSTK,BHARTIARTL,26-Nov-2015,0,XX,0,0,0,354.15,369.55,0,0,0,0,28-AUG-2015,
FUTSTK,BHEL,24-Sep-2015,0,XX,234.8,238.4,229.55,232.6,232.6,6476,15190.25,26854000,488000,28-AUG-2015,
FUTSTK,BHEL,29-Oct-2015,0,XX,232,236.6,228.1,230.55,230.55,440,1023.89,489000,197000,28-AUG-2015,
FUTSTK,BHEL,26-Nov-2015,0,XX,0,0,0,236.15,239.2,0,0,0,0,28-AUG-2015,
FUTSTK,BIOCON,24-Sep-2015,0,XX,442.45,447.7,439.1,442.8,442.8,1590,3530.11,3692500,-74500,28-AUG-2015,
FUTSTK,BIOCON,29-Oct-2015,0,XX,448.7,449.6,440,440,447.5,10,22.36,7000,1500,28-AUG-2015,
FUTSTK,BIOCON,26-Nov-2015,0,XX,0,0,0,445.95,450.2,0,0,0,0,28-AUG-2015,
FUTSTK,BOSCHLTD,24-Sep-2015,0,XX,23533,23864,23310.1,23740.1,23740.1,575,16975.31,220625,-25500,28-AUG-2015,
FUTSTK,BOSCHLTD,29-Oct-2015,0,XX,0,0,0,24576.55,23986.45,1,29.51,125,125,28-AUG-2015,
FUTSTK,BOSCHLTD,26-Nov-2015,0,XX,0,0,0,23576.9,24130.55,0,0,0,0,28-AUG-2015,
FUTSTK,BPCL,24-Sep-2015,0,XX,857,870.95,850.05,863.15,863.15,6349,27419.85,4547000,68500,28-AUG-2015,
FUTSTK,BPCL,29-Oct-2015,0,XX,859.3,874.8,857.25,866.6,866.6,54,233.96,23500,9500,28-AUG-2015,
FUTSTK,BPCL,26-Nov-2015,0,XX,0,0,0,897.5,877.7,0,0,0,0,28-AUG-2015,
FUTSTK,BRITANNIA,24-Sep-2015,0,XX,2990.75,3075,2961,2988.5,2988.5,3003,11332.98,793375,9750,28-AUG-2015,
FUTSTK,BRITANNIA,29-Oct-2015,0,XX,2997.3,3025,2981.8,2999.9,2999.9,11,41.34,1625,625,28-AUG-2015,
FUTSTK,BRITANNIA,26-Nov-2015,0,XX,0,0,0,3000.1,3031.65,0,0,0,0,28-AUG-2015,
FUTSTK,CAIRN,24-Sep-2015,0,XX,146.2,150.65,142.05,145.2,145.2,7317,10759.76,9866000,-96000,28-AUG-2015,
FUTSTK,CAIRN,29-Oct-2015,0,XX,146.15,149.45,141.45,144.95,144.95,238,348.19,325000,78000,28-AUG-2015,
FUTSTK,CAIRN,26-Nov-2015,0,XX,0,0,0,142,148.45,0,0,0,0,28-AUG-2015,
FUTSTK,CANBK,24-Sep-2015,0,XX,295.4,301.8,280.65,282.3,282.3,10531,30659.24,9335000,526000,28-AUG-2015,
FUTSTK,CANBK,29-Oct-2015,0,XX,295.65,303,282.1,283.5,283.5,299,876.99,732000,28000,28-AUG-2015,
FUTSTK,CANBK,26-Nov-2015,0,XX,0,0,0,294.2,285.95,0,0,0,0,28-AUG-2015,
FUTSTK,CASTROLIND,24-Sep-2015,0,XX,450.2,451.7,441,444.65,444.65,726,1619.69,1069000,-14500,28-AUG-2015,
